facility_id,name,address,City,zip
CCN20026,Alaska Native Medical Center,4315 Diplomacy Dr,geoId/0203000,zip/99508
CCN20017,Alaska Regional Hospital,2801 Debarr Road,geoId/0203000,zip/99508
CCN20008,Bartlett Regional Hospital,3260 Hospital Dr,geoId/0236400,zip/99801
CCN21309,Bristol Bay Area Health Corporation,P O Box 130,geoId/0219720,zip/99576
CCN20024,Central Peninsula General Hospital,250 Hospital Place,geoId/0271640,zip/99669
CCN21307,Cordova Community Medical Center,Po Box 160 - 602 Chase Avenue,geoId/0217410,zip/99574
CCN20012,Fairbanks Memorial Hospital,1650 Cowles Street,geoId/0224230,zip/99701
CCN21310,Maniilaq Health Center,Po Box 43,geoId/0241830,zip/99752
CCN20006,Mat-Su Regional Medical Center,2500 South Woodworth Loop,geoId/0258660,zip/99645
CCN21308,Norton Sound Regional Hospital,1000 Greg Kruschek Avenue (P O Box 966),geoId/0254920,zip/99762
CCN21311,Peacehealth Ketchikan Medical Center,3100 Tongass Avenue,geoId/0238970,zip/99901
CCN21304,Petersburg Medical Center,Po Box 589,geoId/0260310,zip/99833
CCN20001,Providence Alaska Medical Center,3200 Providence Drive,geoId/0203000,zip/99508
CCN21306,Providence Kodiak Island Medical Ctr,1915 East Rezanof Drive,geoId/0240950,zip/99615
CCN21302,Providence Seward Hospital,"417 First Avenue, Po Box 365",geoId/0268560,zip/99664
CCN21301,Providence Valdez Medical Center,Po Box 550,geoId/0282200,zip/99686
CCN21312,Samuel Simmonds Memorial Hospital,7000 Uula St,geoId/0205200,zip/99723
CCN21305,Searhc Wrangell Medical Center-Cah,232 Wood Street,geoId/0286380,zip/99929
CCN21313,South Peninsula Hospital,4300 Bartlett St,geoId/0233140,zip/99603
CCN21314,Southeast Alaska Regional Health Consortium,222 Tongass Dr,geoId/0270540,zip/99835
CCN20018,Yukon Kuskokwim Delta Reg Hospital,Po Box 287,geoId/0206520,zip/99559
